Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2016-08-05,230.029999,96.779999,806.929993,12.19,765.97998,96.690002
2016-08-08,226.160004,95.93,805.22998,12.18,766.559998,96.849998
2016-08-09,229.080002,95.900002,807.47998,12.31,768.309998,98.379997
2016-08-10,225.649994,97.029999,808.48999,12.25,768.559998,98.220001
2016-08-11,224.910004,96.980003,808.200012,12.31,771.23999,99.080002
2016-08-12,225.610001,97.230003,807.049988,12.33,772.559998,98.93
2016-08-15,225.589996,97.0,805.960022,12.43,768.48999,98.980003
2016-08-16,223.610001,95.209999,801.190002,12.34,764.039978,98.279999
2016-08-17,223.240005,95.889999,805.419983,12.39,764.630005,98.449997
2016-08-18,223.509995,95.639999,802.75,12.33,764.460022,98.779999
2016-08-19,225.0,94.949997,799.650024,12.39,757.309998,98.32
2016-08-22,222.929993,94.470001,796.950012,12.36,759.47998,98.68
2016-08-23,224.839996,93.470001,796.590027,12.42,762.450012,99.040001
2016-08-24,222.619995,93.410004,793.599976,12.3,757.25,98.779999
2016-08-25,220.960007,93.519997,791.299988,12.47,759.219971,98.910004
2016-08-26,219.990005,93.279999,793.219971,12.38,769.0,98.059998
2016-08-29,215.199997,93.389999,795.820007,12.47,771.289978,99.559998
2016-08-30,211.339996,93.169998,791.919983,12.55,767.580017,99.25
2016-08-31,212.009995,93.699997,789.849976,12.6,769.159973,99.459999
2016-09-01,200.770004,93.32,791.400024,12.44,770.619995,99.699997
2016-09-02,197.779999,94.459999,796.869995,12.5,772.440002,101.529999
2016-09-06,202.830002,93.970001,808.02002,12.67,788.869995,100.989998
2016-09-07,201.710007,93.550003,807.98999,12.7,784.47998,101.050003
2016-09-08,197.360001,92.989998,802.840027,12.73,784.059998,98.029999
2016-09-09,194.470001,89.839996,788.47998,12.38,760.140015,96.709999
2016-09-12,198.300003,91.260002,798.820007,12.7,771.48999,96.879997
2016-09-13,196.050003,90.050003,788.719971,12.38,761.01001,97.459999
2016-09-14,196.410004,90.279999,790.460022,12.14,761.090027,97.949997
2016-09-15,200.419998,90.220001,801.22998,12.11,769.690002,98.510002
2016-09-16,205.399994,90.75,797.969971,12.11,778.52002,99.339996
2016-09-19,206.339996,90.769997,795.390015,12.11,775.099976,99.089996
2016-09-20,204.639999,90.790001,799.780029,12.0,780.219971,98.580002
2016-09-21,205.220001,91.400002,805.030029,12.09,789.73999,99.269997
2016-09-22,206.429993,92.0,815.950012,12.18,804.700012,100.720001
2016-09-23,207.449997,91.610001,814.960022,12.17,805.75,102.139999
2016-09-26,208.990005,90.290001,802.650024,12.01,799.159973,101.699997
2016-09-27,205.809998,90.650002,810.72998,11.98,816.109985,98.239998
2016-09-28,206.270004,91.279999,810.059998,12.09,828.719971,96.190002
2016-09-29,200.699997,90.720001,802.640015,11.97,829.049988,94.370003
2016-09-30,204.029999,91.309998,804.059998,12.07,837.309998,95.940002
2016-10-03,213.699997,90.760002,800.380005,12.1,836.73999,95.18
2016-10-04,211.410004,86.860001,802.789978,12.2,834.030029,94.800003
2016-10-05,208.460007,87.120003,801.22998,12.48,844.359985,93.809998
2016-10-06,201.0,88.040001,803.080017,12.39,841.659973,93.809998
2016-10-07,196.610001,87.489998,800.710022,12.29,839.429993,94.75
2016-10-10,200.949997,87.790001,814.169983,12.12,841.710022,96.449997
2016-10-11,200.100006,87.139999,809.570007,11.99,831.0,94.779999
2016-10-12,201.509995,87.349998,811.77002,11.96,834.090027,95.809998
2016-10-13,200.240005,87.360001,804.080017,11.91,829.280029,95.059998
2016-10-14,196.509995,87.120003,804.599976,11.91,822.960022,95.529999
