,0
349,"340Kevon Looney, SFGolden State Warriors$1,182,840"
350,"342Damian Jones, CGolden State Warriors$1,171,560"
351,"344Joe Young, PGIndiana Pacers$1,052,342"
352,"346Tony Wroten, SGMemphis Grizzlies$1,050,961"
353,"348John Jenkins, SGPhoenix Suns$1,050,961"
354,"350Montrezl Harrell, PFHouston Rockets$1,045,000"
355,"352Richaun Holmes, PFPhiladelphia 76ers$1,025,831"
356,"354Lorenzo Brown, PGToronto Raptors$1,015,696"
357,"356DeAndre Liggins, SGDallas Mavericks$1,015,696"
358,"358Mike Muscala, PFAtlanta Hawks$1,015,696"
359,"360Terrence Jones, PFMilwaukee Bucks$980,431"
360,"361Devyn Marble, SFLA Clippers$980,431"
361,"363JaMychal Green, PFMemphis Grizzlies$980,431"
362,"365Nate Wolters, PGUtah Jazz$980,431"
363,"367Eric Moreland, PFDetroit Pistons$980,431"
364,"369Will Bynum, PGAtlanta Hawks$980,431"
365,"371Andrew Harrison, SGMemphis Grizzlies$945,000"
366,"373Malcolm Brogdon, PGMilwaukee Bucks$925,000"
367,"375Reggie Williams, SFNew Orleans Pelicans$895,197"
368,"377Nick Johnson, SGOrlando Magic$874,636"
369,"379Jonathon Simmons, SFSan Antonio Spurs$874,636"
370,"381D.J. Kennedy, SGMemphis Grizzlies$874,636"
371,"383Christian Wood, PFCharlotte Hornets$874,636"
372,"385Pat Connaughton, SGPortland Trail Blazers$874,636"
373,"387Cliff Alexander, PFNew Orleans Pelicans$874,636"
374,"389Paul Zipser, SFChicago Bulls$750,000"
375,"391Bobby Brown, PGHouston Rockets$680,534"
376,"393Georges Niang, SFIndiana Pacers$650,000"
377,"395Joel Bolomboy, PFUtah Jazz$600,000"
378,"397Scott Wood, SGGolden State Warriors$543,471"
379,"399E.J. Singler, SFToronto Raptors$543,471"
380,"362James Michael McAdoo, SFGolden State Warriors$980,431"
381,"364Henry Sims, CUtah Jazz$980,431"
382,"366Brian Roberts, PGCharlotte Hornets$980,431"
383,"368Greg Stiemsma, CPortland Trail Blazers$980,431"
384,"370Stephen Zimmerman, COrlando Magic$950,000"
385,"372Raul Neto, PGUtah Jazz$937,800"
386,"374Tyler Ulis, PGPhoenix Suns$918,369"
387,"376Kevin Murphy, SGOrlando Magic$874,636"
388,"378Branden Dawson, SFOrlando Magic$874,636"
389,"380D.J. Stephens, SGMemphis Grizzlies$874,636"
390,"382Norman Powell, SFToronto Raptors$874,636"
391,"384Aaron Harrison, SGCharlotte Hornets$874,636"
392,"386Grant Jerrett, PFPortland Trail Blazers$874,636"
393,"388R.J. Hunter, SGChicago Bulls$864,346"
394,"390Spencer Dinwiddie, PGBrooklyn Nets$726,672"
395,"392AJ Hammons, CDallas Mavericks$650,000"
396,"394Jake Layman, SFPortland Trail Blazers$600,000"
397,"396Donatas Motiejunas, PFNew Orleans Pelicans$576,724"
398,"398Fred VanVleet, PGToronto Raptors$543,471"
399,"400Andrew Andrews, GCharlotte Hornets$543,471"
400,"401Treveon Graham, SGCharlotte Hornets$543,471"
401,"403Marcus Paige, PGCharlotte Hornets$543,471"
402,"405Nick Zeisloft, SGIndiana Pacers$543,471"
403,"407Diamond Stone, CLA Clippers$543,471"
404,"409Jonathan Holmes, PFBoston Celtics$543,471"
405,"411Jonathan Gibson, PGDallas Mavericks$469,943"
406,"413Joel Anthony, PFSan Antonio Spurs$346,034"
407,"415Ronnie Price, PGPhoenix Suns$276,828"
408,"417Isaiah Taylor, PGHouston Rockets$255,000"
409,"419Jose Calderon, PGLos Angeles Lakers$247,991"
410,"421Andrew Bogut, CDallas Mavericks$242,224"
411,"423Okaro White, PFMiami Heat$210,995"
412,"425Larry Sanders, PFCleveland Cavaliers$207,722"
413,"427Johnny O'Bryant III, PFCharlotte Hornets$161,483"
414,"429Omri Casspi, SFSacramento Kings$138,414"
415,"431Ray McCallum, PGCharlotte Hornets$121,112"
416,"433Derrick Williams, PFMiami Heat$115,344"
417,"435Wayne Selden, SGMemphis Grizzlies$83,119"
418,"437Archie Goodwin, SGBrooklyn Nets$75,000"
419,"439Mike Tobey, CCharlotte Hornets$67,135"
420,"402Julyan Stone, PGCharlotte Hornets$543,471"
421,"404Rasheed Sulaimon, GCharlotte Hornets$543,471"
422,"406Thomas Walkup, SGChicago Bulls$543,471"
423,"408Nicolas Brussino, SFDallas Mavericks$543,471"
424,"410Richard Solomon, PFAtlanta Hawks$543,471"
425,"412Toney Douglas, PGMemphis Grizzlies$379,159"
426,"414Ryan Kelly, PFAtlanta Hawks$286,785"
427,"416Deron Williams, PGDallas Mavericks$259,526"
428,"418Norris Cole, PGOklahoma City Thunder$247,991"
429,"420Lamar Patterson, SGAtlanta Hawks$246,956"
430,"422Matt Barnes, SFSacramento Kings$242,224"
431,"424Yogi Ferrell, PGBrooklyn Nets$207,798"
