,0,1,2,3,4
197,We Were Liars,E. Lockhart,3.85,  160,/book/show/16143347-we-were-liars
198,"Wild Man Creek (Virgin River, #12)",Robyn Carr,4.31,  157,/book/show/8850167-wild-man-creek
199,Open Season,Linda Howard,4.01,  157,/book/show/11680446-open-season
200,"Winters Heat (Titan, #1)",Cristin Harber,4.02,  155,/book/show/18247580-winters-heat
201,"Born in Shame (Born In Trilogy, #3)",Nora Roberts,4.07,  152,/book/show/98405.Born_in_Shame
202,"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas,4.05,  149,/book/show/6587379-secrets-of-a-summer-night
203,"Into the Wilderness (Wilderness, #1)",Sara Donati,4.10,  146,/book/show/72854.Into_the_Wilderness
204,"The Will (Magdalene, #1)",Kristen Ashley,4.30,  146,/book/show/20603820-the-will
205,"Soaring (Magdalene, #2)",Kristen Ashley,4.34,  144,/book/show/24374053-soaring
206,"Nine Rules to Break When Romancing a Rake (Love By Number, #1)",Sarah MacLean,4.08,  144,/book/show/8152807-nine-rules-to-break-when-romancing-a-rake
207,"Over the Edge (Troubleshooters, #3)",Suzanne Brockmann,4.23,  139,/book/show/174357.Over_the_Edge
208,"Something About You (FBI/US Attorney, #1)",Julie James,3.94,  138,/book/show/8231458-something-about-you
209,Tempt Me Not (Me Not #1),Eve Byron,4.07,  137,/book/show/2731480-tempt-me-not
210,Dance with the Devil (Dark-Hunter #3),Sherrilyn Kenyon,4.39,  125,/book/show/84145.Dance_with_the_Devil
211,"The Sweetest Thing (Lucky Harbor, #2)",Jill Shalvis,4.12,  125,/book/show/10956551-the-sweetest-thing
212,"The Deal (Off-Campus, #1)",Elle Kennedy,4.30,  125,/book/show/24920901-the-deal
213,"A Game of Chance (Mackenzie Family, #4)",Linda Howard,4.07,  121,/book/show/420747.A_Game_of_Chance
214,"Running Hot (Arcane Society, #5)",Jayne Ann Krentz,4.07,  117,/book/show/2974804-running-hot
215,Master of Swords (Mageverse #4),Angela Knight,4.19,  111,/book/show/19908.Master_of_Swords
216,Bite Me If You Can (Argeneau #6),Lynsay Sands,4.27,  107,/book/show/38529.Bite_Me_If_You_Can
217,Dancing on Coals,Ellen O'Connell,4.10,  106,/book/show/12913453-dancing-on-coals
218,"Megan's Mark (Breeds, #7; Feline Breeds, #5)",Lora Leigh,4.11,  105,/book/show/319639.Megan_s_Mark
219,God-Shaped Hole,Tiffanie DeBartolo,4.04,  100,/book/show/248103.God_Shaped_Hole
220,A Crack in Forever,Jeannie Brewer,4.20,  100,/book/show/1212079.A_Crack_in_Forever
221,"Conspiracy Game (GhostWalkers, #4)",Christine Feehan,4.36,  100,/book/show/287632.Conspiracy_Game
222,Nakoa's Woman,Gayle Rogers,4.06,  100,/book/show/2516263.Nakoa_s_Woman
223,"The Return (The Austin Trilogy, #2)",Brad Boney,4.23,  100,/book/show/18044109-the-return
224,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop,4.39,  100,/book/show/47953.The_Black_Jewels_Trilogy
225,Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,4.20,  100,/book/show/9864913-jaya
226,Dreaming of Love (The Bradens at Trusty #5; The Bradens #11; Love in Bloom #20),Melissa Foster,4.47,  100,/book/show/22538958-dreaming-of-love
227,Love not for sale,Anurag Garg,4.02,  100,/book/show/26156557-love-not-for-sale
228,"Comanche Heart (Comanche, #2)",Catherine Anderson,4.05,  100,/book/show/8201243-comanche-heart
229,Naughty Housewives,Ernest Morris,3.91,  100,/book/show/32622369-naughty-housewives
230,"A Million Different Ways (Horn Duet, #1)",P. Dangelico,4.03,  100,/book/show/30636413-a-million-different-ways
231,Next!: The Search for My Last First Date,Robert    James,4.00,  100,/book/show/22496572-next
232,Ella Enchanted,Gail Carson Levine,3.97,  100,/book/show/24337.Ella_Enchanted
233,"Crave: Part One (Crave Duet, #1)",E.K. Blair,4.09,  100,/book/show/34929050-crave
234,"The Black Hawk (The Spymaster's Lady, #4)",Joanna Bourne,4.16,  100,/book/show/11538047-the-black-hawk
235,The Accidental Wife,C.J. Fosdick,4.31,  100,/book/show/25165911-the-accidental-wife
236,Surrender the Wind,Elizabeth St. Michel,4.62,  100,/book/show/30643163-surrender-the-wind
237,Annie's Song,Catherine Anderson,4.20,  99,/book/show/659600.Annie_s_Song
238,"The Rainbow Season (Turner's Rainbows Saga, #1)",Lisa Gregory,3.97,  99,/book/show/475006.The_Rainbow_Season
239,"Stardust of Yesterday (de Piaget, #9; de Paiget/MacLeod, #1)",Lynn Kurland,4.10,  99,/book/show/17054.Stardust_of_Yesterday
240,"The Keeper: Revenge (The Keeper, #2)",O.L. Ramos,4.24,  99,/book/show/18373829-the-keeper
241,"Arielle: Immortal Quickening (Immortal Rapture, #4)",Lilian Roberts,4.45,  99,/book/show/18126565-arielle
242,வந்தார்கள் வென்றார்கள் [Vandhargal Vendrargal],Madhan,4.23,  99,/book/show/7493659-vandhargal-vendrargal
243,The Champion,Carla Capshaw,4.26,  99,/book/show/10662095-the-champion
244,"The Violet Hour (The Violet Hour, #1)",Andrea L. Wells,3.87,  99,/book/show/25348861-the-violet-hour
245,"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,4.01,  99,/book/show/11096647-flat-out-love
246,Forbidden,Tabitha Suzuma,4.06,  99,/book/show/7600924-forbidden
247,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,  99,/book/show/10818853-fifty-shades-of-grey
248,Not Quite a Husband,Sherry Thomas,3.88,  99,/book/show/5841500-not-quite-a-husband
249,Atonement,Ian McEwan,3.88,  99,/book/show/6867.Atonement
250,The Winds of Fate,Elizabeth St. Michel,3.98,  99,/book/show/23282635-the-winds-of-fate
251,Line of Scrimmage,Marie Force,3.99,  98,/book/show/3564825-line-of-scrimmage
252,"Point of Retreat (Slammed, #2)",Colleen Hoover,4.30,  98,/book/show/13496084-point-of-retreat
253,"Learning To Let Go (Learning, #2)",Cynthia P. O'Neill,4.06,  98,/book/show/18802141-learning-to-let-go
254,"The Opportunist (Love Me with Lies, #1)",Tarryn Fisher,4.22,  98,/book/show/13312527-the-opportunist
255,Only By Your Touch,Catherine Anderson,4.17,  98,/book/show/10835752-only-by-your-touch
256,"Fool Me Twice (Rules for the Reckless, #2)",Meredith Duran,3.96,  98,/book/show/18143986-fool-me-twice
257,"Kings Rising (Captive Prince, #3)",C.S. Pacat,4.50,  98,/book/show/17158532-kings-rising
258,Sweet Vengeance: Duke of Rutland Series Book 1,Elizabeth St. Michel,5.00,  98,/book/show/36052454-sweet-vengeance
259,"Starcrossed (Starcrossed, #1)",Josephine Angelini,4.08,  97,/book/show/9462795-starcrossed
