Fruits Basket: The Complete Collection,Natsuki Takaya," 4.53 avg rating _яс 2,060 ratings",score: 197,/book/show/8192675-fruits-basket
The Outsider,Penelope Williamson," 3.97 avg rating _яс 1,346 ratings",score: 196,/book/show/280747.The_Outsider
Anonymity,Amber Lea Easton, 3.93 avg rating _яс 199 ratings,score: 196,/book/show/19548180-anonymity
"Slammed (Slammed, #1)",Colleen Hoover," 4.29 avg rating _яс 177,174 ratings",score: 193,/book/show/13372690-slammed
"Slightly Dangerous (Bedwyn Saga, #6)",Mary Balogh," 4.21 avg rating _яс 12,991 ratings",score: 190,/book/show/6297035-slightly-dangerous
Always to Remember,Lorraine Heath," 4.19 avg rating _яс 1,764 ratings",score: 189,/book/show/692985.Always_to_Remember
Heart of the West,Penelope Williamson, 4.08 avg rating _яс 873 ratings,score: 188,/book/show/1150355.Heart_of_the_West
"Match Me If You Can (Chicago Stars, #6)",Susan Elizabeth Phillips," 4.13 avg rating _яс 35,936 ratings",score: 187,/book/show/73089.Match_Me_If_You_Can
"Simon Says (SBC Fighters, #2)",Lori Foster," 4.15 avg rating _яс 6,141 ratings",score: 186,/book/show/155317.Simon_Says
Remembrance,Jude Deveraux," 4.01 avg rating _яс 6,438 ratings",score: 186,/book/show/251953.Remembrance
"Embrace The Darkness (Guardians of Eternity, #2)",Alexandra Ivy," 4.15 avg rating _яс 8,352 ratings",score: 185,/book/show/1599297.Embrace_The_Darkness
The Scarlet Pimpernel,Emmuska Orczy," 4.06 avg rating _яс 104,425 ratings",score: 184,/book/show/18297740-the-scarlet-pimpernel
The Night Circus,Erin Morgenstern," 4.03 avg rating _яс 479,764 ratings",score: 183,/book/show/9361589-the-night-circus
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare," 4.34 avg rating _яс 636,401 ratings",score: 182,/book/show/3777732-city-of-glass
"Soul of a Highlander (Daughters of the Glen, #3)",Melissa Mayhue," 4.16 avg rating _яс 2,147 ratings",score: 182,/book/show/2511327.Soul_of_a_Highlander
"Sudden Response (EMS, #1)",R.L. Mathewson," 4.04 avg rating _яс 11,000 ratings",score: 182,/book/show/20512384-sudden-response
"The Book of Life (All Souls Trilogy, #3)",Deborah Harkness," 4.15 avg rating _яс 79,025 ratings",score: 182,/book/show/16054217-the-book-of-life
Doctor Zhivago,Boris Pasternak," 4.03 avg rating _яс 66,514 ratings",score: 181,/book/show/130440.Doctor_Zhivago
Before I Fall,Lauren Oliver," 3.92 avg rating _яс 235,827 ratings",score: 180,/book/show/6482837-before-i-fall
"The Undead Pool (The Hollows, #12)",Kim Harrison," 4.43 avg rating _яс 21,696 ratings",score: 179,/book/show/17285883-the-undead-pool
"Open Country (Blood Rose, #2)",Kaki Warner, 4.05 avg rating _яс 854 ratings,score: 178,/book/show/7174472-open-country
The Prince of Tides,Pat Conroy," 4.22 avg rating _яс 166,236 ratings",score: 178,/book/show/16735.The_Prince_of_Tides
"The Unsung Hero (Troubleshooters, #1)",Suzanne Brockmann," 4.04 avg rating _яс 11,909 ratings",score: 178,/book/show/6622759-the-unsung-hero
"Bright Eyes (Kendrick/Coulter/Harrigan, #5)",Catherine Anderson," 4.16 avg rating _яс 3,698 ratings",score: 177,/book/show/89352.Bright_Eyes
"The Blue Sword (Damar, #1)",Robin McKinley," 4.24 avg rating _яс 47,027 ratings",score: 175,/book/show/407813.The_Blue_Sword
"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi," 4.00 avg rating _яс 94,914 ratings",score: 175,/book/show/11594257-under-the-never-sky
"The Tea Rose (The Tea Rose, #1)",Jennifer Donnelly," 4.18 avg rating _яс 25,469 ratings",score: 172,/book/show/1306948.The_Tea_Rose
Far from the Madding Crowd,Thomas Hardy," 3.92 avg rating _яс 98,285 ratings",score: 170,/book/show/31463.Far_from_the_Madding_Crowd
"All This, and Heaven Too",Rachel Field, 4.02 avg rating _яс 262 ratings,score: 167,/book/show/1397878.All_This_and_Heaven_Too
"Mackenzie's Pleasure (Mackenzie Family, #3)",Linda Howard," 4.13 avg rating _яс 4,578 ratings",score: 166,/book/show/1561628.Mackenzie_s_Pleasure
"Twilight (Twilight, #1)",Stephenie Meyer," 3.57 avg rating _яс 3,945,299 ratings",score: 166,/book/show/41865.Twilight
The Nutcracker and the Mouse King,E.T.A. Hoffmann," 4.06 avg rating _яс 8,338 ratings",score: 165,/book/show/19012900-the-nutcracker-and-the-mouse-king
We Were Liars,E. Lockhart," 3.85 avg rating _яс 303,140 ratings",score: 160,/book/show/16143347-we-were-liars
"Wild Man Creek (Virgin River, #12)",Robyn Carr," 4.31 avg rating _яс 9,420 ratings",score: 157,/book/show/8850167-wild-man-creek
Open Season,Linda Howard," 4.01 avg rating _яс 15,688 ratings",score: 157,/book/show/11680446-open-season
