yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
2007,SLN,3,725,829,162,78,1513,506,54,5529,54,141,279,13,90286823,0.273648038,0.337457268,0.405317417
2007,HOU,4,723,813,162,73,1457,547,55,5605,40,167,293,30,87759000,0.259946476,0.329598207,0.412310437
2007,CIN,5,783,853,162,72,1496,536,66,5607,46,204,293,23,68524980,0.266809345,0.335411671,0.436418762
2007,PIT,6,724,846,162,68,1463,463,71,5569,51,148,322,31,38537833,0.262704256,0.324504387,0.41138445
2007,PHI,1,892,821,162,89,1558,641,90,5688,52,213,326,41,89428213,0.273909986,0.353732035,0.457981716
2007,NYN,2,804,750,162,88,1543,549,54,5605,58,177,294,27,115231663,0.27528992,0.342483243,0.432114184
2007,ATL,3,810,733,162,84,1562,534,49,5689,47,176,328,27,87290833,0.27456495,0.339452445,0.434522763
2007,WAS,4,673,783,162,73,1415,524,53,5520,41,123,309,31,36947500,0.25634058,0.324535679,0.390398551
2007,FLO,5,790,891,162,71,1504,521,82,5627,42,201,340,38,30507000,0.267282744,0.3359375,0.448373911
2007,ARI,1,712,732,162,90,1350,532,57,5398,58,171,286,40,52067546,0.250092627,0.320760959,0.412930715
2007,COL,2,860,758,163,90,1591,622,58,5691,44,171,313,36,54041000,0.279564224,0.35401403,0.437357231
2007,SDN,3,741,666,163,89,1408,557,49,5612,44,171,322,31,58110567,0.250890948,0.321622485,0.410727014
2007,LAN,4,735,727,162,82,1544,511,41,5613,55,129,276,35,108454524,0.275075717,0.336977492,0.40566542
