player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Michael Kidd-Gilchrist,SF,23,CHO,81,81,29,3.6,7.6,0.477,0,0.1,0.111,3.6,7.5,0.483,0.478,1.9,1.9,0.784,1.9,5,7,1.4,1,1,0.7,2.3,9.2,13000000
Brandon Knight,SG,25,PHO,54,5,21.1,3.9,9.7,0.398,0.8,2.6,0.324,3,7.1,0.425,0.441,2.4,2.4,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11,12606250
Kosta Koufos,C,27,SAC,71,62,20,3,5.5,0.551,0,0,0,3,5.5,0.552,0.551,0.5,0.5,0.613,1.7,4,5.7,0.7,0.5,0.7,0.9,2.4,6.6,8046500
Skal Labissiere,PF,20,SAC,33,12,18.5,3.5,6.6,0.537,0.1,0.2,0.375,3.5,6.4,0.543,0.544,1.6,1.6,0.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,8.8,1188840
Jeremy Lamb,SG,24,CHO,62,5,18.4,3.6,7.9,0.46,0.7,2.4,0.281,3,5.6,0.536,0.502,1.8,1.8,0.853,0.5,3.8,4.3,1.2,0.4,0.4,0.6,1.6,9.7,6511628
Zach LaVine,SG,21,MIN,47,47,37.2,6.9,15.1,0.459,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,2.5,0.836,0.4,3,3.4,3,0.9,0.2,1.8,2.2,18.9,2240880
Jake Layman,SF,22,POR,35,1,7.1,0.7,2.5,0.292,0.4,1.5,0.255,0.4,1.1,0.342,0.365,0.4,0.4,0.765,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,2.2,600000
Courtney Lee,SG,31,NYK,77,74,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.533,1.1,1.1,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,11242000
David Lee,PF,33,SAS,79,10,18.7,3.1,5.3,0.59,0,0,0,3.1,5.3,0.59,0.59,1,1,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1,1.6,7.3,1551659
Alex Len,C,23,PHO,77,34,20.3,3,6,0.497,0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,1.9,0.721,2,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8,4823621
Kawhi Leonard,SF,25,SAS,74,74,33.4,8.6,17.7,0.485,2,5.2,0.38,6.6,12.5,0.529,0.541,6.3,6.3,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,17638063
Meyers Leonard,PF,24,POR,74,12,16.5,2,5.1,0.386,1,2.9,0.347,1,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1,0.2,0.4,0.5,2.3,5.4,9213483
Jon Leuer,PF,27,DET,75,34,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.3,0.867,1.4,4,5.4,1.5,0.4,0.3,0.9,1.9,10.2,10991957
Caris LeVert,SF,22,BRK,57,26,21.7,3,6.7,0.45,1,3.2,0.321,2,3.4,0.571,0.528,1.2,1.2,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1,1.6,8.2,1562280
Damian Lillard,PG,26,POR,75,75,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6,12.1,0.492,0.516,6.5,6.5,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27,24328425
Jeremy Lin,PG,28,BRK,36,33,24.5,4.9,11.1,0.438,1.6,4.3,0.372,3.3,6.8,0.48,0.51,3.2,3.2,0.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5,11483254
Shaun Livingston,PG,31,GSW,76,3,17.7,2.3,4.2,0.547,0,0,0.333,2.3,4.1,0.55,0.549,0.6,0.6,0.7,0.4,1.6,2,1.8,0.5,0.3,0.8,1.6,5.1,5782450
Shawn Long,C,24,PHI,18,0,13,3.4,6.1,0.56,0.4,1.1,0.368,3,5,0.6,0.592,1.1,1.1,0.543,2.3,2.4,4.7,0.7,0.5,0.5,0.7,2.7,8.2,89513
Kevon Looney,C,20,GSW,53,4,8.4,1.1,2,0.523,0,0.2,0.222,1,1.8,0.551,0.533,0.4,0.4,0.618,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,2.5,1182840
Brook Lopez,C,28,BRK,75,75,29.6,7.4,15.6,0.474,1.8,5.2,0.346,5.6,10.5,0.536,0.531,3.9,3.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,21165675
Robin Lopez,C,28,CHI,81,81,28,4.7,9.6,0.493,0,0,0,4.7,9.5,0.494,0.493,0.9,0.9,0.721,3,3.4,6.4,1,0.2,1.4,1.1,1.9,10.4,13219250
Kevin Love,PF,28,CLE,60,60,31.4,6.2,14.5,0.427,2.4,6.5,0.373,3.8,8,0.471,0.51,4.3,4.3,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2,2.1,19,21165675
Timothe Luwawu-Cabarrot,SF,21,PHI,69,19,17.2,2.1,5.2,0.402,0.7,2.3,0.311,1.4,2.9,0.475,0.471,1.5,1.5,0.854,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4,1326960
Trey Lyles,PF,21,UTA,71,4,16.3,2.2,6.2,0.362,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,0.8,0.722,0.7,2.6,3.3,1,0.4,0.3,0.9,1.4,6.2,2340600
